actor,role,title,award,score_1,score_2,num_reviews,polarity_mean,objectivity_mean,numeric_key,ordering,height,year,duration,avg_vote,votes,budget,worlwide_gross_income,metascore,weighted_average_vote,total_votes,mean_vote,median_vote,votes_10,votes_9,votes_8,votes_7,votes_6,votes_5,votes_4,votes_3,votes_2,votes_1,allgenders_0age_avg_vote,allgenders_0age_votes,allgenders_18age_avg_vote,allgenders_18age_votes,allgenders_30age_avg_vote,allgenders_30age_votes,allgenders_45age_avg_vote,allgenders_45age_votes,males_allages_avg_vote,males_allages_votes,males_0age_avg_vote,males_0age_votes,males_18age_avg_vote,males_18age_votes,males_30age_avg_vote,males_30age_votes,males_45age_avg_vote,males_45age_votes,females_allages_avg_vote,females_allages_votes,females_0age_avg_vote,females_0age_votes,females_18age_avg_vote,females_18age_votes,females_30age_avg_vote,females_30age_votes,females_45age_avg_vote,females_45age_votes,top1000_voters_rating,top1000_voters_votes,us_voters_rating,us_voters_votes,non_us_voters_rating,non_us_voters_votes,age_at_performance
Adam Driver,charlie barber,marriage story,1.0,85.0,94.0,48.0,0.1909691944959802,0.4795073352573352,0,1,189.0,2019,137,8.0,227338,18600000,333686,94.0,8.0,227338,7.9,8.0,26034,52915,77023,44515,15075,5287,2224,1344,959,1962,8.4,510.0,8.1,56573.0,7.8,69193.0,7.6,16050.0,7.9,116102.0,8.5,341.0,8.2,39675.0,7.8,52373.0,7.6,12170.0,7.8,36483.0,8.1,92.0,8.0,14099.0,7.7,14992.0,7.5,3370.0,7.1,419.0,8.0,22814.0,7.9,88146.0,36.0
Adolphe Menjou,walter burns,the front page,1.0,60.0,93.0,1.0,0.5,1.0,1,1,179.0,1931,101,6.7,2348,0,0,76.0,6.7,2348,6.9,7.0,165,160,446,761,428,200,81,44,33,30,0,0,6.5,132.0,6.6,653.0,6.9,1027.0,6.8,1605.0,0,0,6.5,106.0,6.6,568.0,6.9,884.0,6.6,249.0,0,0,6.1,26.0,6.6,81.0,6.8,134.0,6.5,184.0,6.8,1080.0,6.6,663.0,41.0
Adrien Brody,wladyslaw szpilman,the pianist,2.0,96.0,95.0,40.0,0.12857593795093794,0.6039663880181121,2,1,183.0,2002,150,8.5,707942,35000000,120072577,85.0,8.5,707942,8.5,9.0,164639,229091,193515,74491,21416,8813,4594,2767,2161,6455,8.6,459.0,8.7,160488.0,8.5,283869.0,8.2,59677.0,8.5,420357.0,8.6,311.0,8.6,117866.0,8.5,226751.0,8.2,47958.0,8.6,110872.0,8.2,78.0,8.8,39226.0,8.6,53249.0,8.4,10601.0,8.1,739.0,8.4,82064.0,8.5,323314.0,29.0
Al Pacino,frank serpico,serpico,1.0,88.0,90.0,6.0,0.23854166666666665,0.5729166666666666,3,1,168.0,1973,130,7.7,106667,3000000,29829963,87.0,7.7,106667,7.8,8.0,9784,16533,41239,27664,7744,2184,707,305,171,336,7.3,44.0,7.8,16338.0,7.7,49007.0,7.7,16841.0,7.7,78161.0,7.3,34.0,7.8,14827.0,7.7,45256.0,7.7,14834.0,7.7,6575.0,7.1,7.0,7.7,1290.0,7.7,3241.0,7.8,1742.0,7.6,624.0,7.7,19673.0,7.7,53318.0,33.0
Al Pacino,michael corleone,the godfather part ii,1.0,97.0,98.0,17.0,0.3802857142857143,0.6469259259259259,3,1,168.0,1974,202,9.0,1098714,13000000,48035783,90.0,9.0,1098714,8.8,9.0,472758,314803,170068,68732,25674,12350,6069,4261,3832,20167,9.1,721.0,9.0,208613.0,9.0,435756.0,8.9,118888.0,9.0,712572.0,9.1,532.0,9.1,178943.0,9.0,381914.0,9.0,100306.0,8.7,96023.0,9.0,103.0,8.8,25412.0,8.7,47656.0,8.7,16306.0,8.8,856.0,9.1,164758.0,9.0,448555.0,34.0
Al Pacino,sonny wortzik,dog day afternoon,1.0,90.0,96.0,8.0,0.2305776515151515,0.5203977272727273,3,1,168.0,1975,125,8.0,230684,1800000,50000000,86.0,8.0,230684,8.0,8.0,30951,50098,83082,44469,12905,4444,1647,820,556,1712,8.4,88.0,8.1,39241.0,8.0,104571.0,7.9,33677.0,8.0,164482.0,8.4,68.0,8.1,34670.0,8.0,94421.0,7.9,29020.0,8.0,18212.0,8.8,14.0,8.1,4116.0,8.0,9182.0,8.0,4203.0,7.9,704.0,8.1,46834.0,8.0,109144.0,35.0
Al Pacino,arthur kirkland,and justice for all,1.0,80.0,83.0,7.0,-0.10416666666666667,0.7003968253968254,3,1,168.0,1979,119,7.4,30085,0,33300000,58.0,7.4,30085,7.5,8.0,2957,3583,8926,9242,3352,1162,395,198,101,169,8.2,15.0,7.7,4301.0,7.4,12954.0,7.3,6112.0,7.4,21450.0,8.4,9.0,7.7,3754.0,7.4,11744.0,7.2,5245.0,7.6,2503.0,7.7,3.0,8.0,502.0,7.6,1106.0,7.5,785.0,6.9,429.0,7.4,6377.0,7.4,14756.0,39.0
Al Pacino,lieutenant colonel frank slade,scent of a woman,2.0,92.0,89.0,9.0,0.12956349206349205,0.6098639455782313,3,1,168.0,1992,156,8.0,253857,31000000,134095253,59.0,8.0,253857,8.1,8.0,47261,55386,81341,44420,15148,5400,2149,1088,676,988,8.4,110.0,8.3,45712.0,8.0,116581.0,7.6,31418.0,8.0,164628.0,8.3,80.0,8.3,34991.0,8.0,95857.0,7.6,25892.0,8.0,36304.0,8.6,14.0,8.3,9920.0,8.0,19422.0,7.6,5073.0,7.2,668.0,7.7,34579.0,8.0,128156.0,52.0
Alan Arkin,john singer,the heart is a lonely hunter,1.0,85.0,100.0,1.0,0.2444444444444445,0.6,4,1,177.0,1968,123,7.6,3520,2000000,0,0,7.6,3520,7.8,8.0,585,576,1039,712,304,146,52,34,21,51,8.5,2.0,7.8,173.0,7.5,918.0,7.7,1668.0,7.5,2181.0,8.0,1.0,7.8,116.0,7.4,714.0,7.6,1300.0,7.8,621.0,9.0,1.0,7.8,57.0,7.7,194.0,8.0,348.0,6.7,184.0,7.7,1597.0,7.4,1057.0,34.0
Alan Bates,yakov bok,the fixer,1.0,61.0,56.0,2.0,-0.14166666666666666,0.37916666666666665,5,1,175.0,1968,132,6.8,1169,0,0,0,6.8,1169,7.1,7.0,182,101,204,285,200,96,39,20,12,30,0,0,7.1,33.0,6.8,286.0,6.7,559.0,6.8,795.0,0,0,7.1,23.0,6.8,256.0,6.7,500.0,6.6,89.0,0,0,6.8,10.0,6.9,25.0,6.0,52.0,6.5,133.0,7.1,264.0,6.7,581.0,34.0
Albert Finney,tom jones,tom jones,1.0,58.0,82.0,9.0,0.18919753086419755,0.5185185185185185,6,1,175.0,1963,129,6.5,11371,1000000,0,77.0,6.5,11371,6.7,7.0,1073,936,1924,2743,2070,1093,602,360,218,352,7.0,2.0,6.2,931.0,6.3,3815.0,6.8,4105.0,6.5,7630.0,7.0,1.0,6.2,792.0,6.3,3248.0,6.8,3402.0,6.5,1361.0,7.0,1.0,6.5,133.0,6.3,531.0,6.9,658.0,6.3,334.0,6.6,4051.0,6.5,4308.0,27.0
Albert Finney,hercule poirot,murder on the orient express,1.0,79.0,90.0,6.0,0.125,0.4525462962962963,6,1,175.0,1974,128,7.3,54112,1500000,27658612,63.0,7.3,54112,7.4,7.0,4313,5303,14942,18079,7207,2592,864,340,204,268,7.7,25.0,7.3,6579.0,7.3,22139.0,7.3,13043.0,7.3,35546.0,7.6,20.0,7.3,5183.0,7.2,18308.0,7.3,10785.0,7.5,7307.0,8.0,3.0,7.4,1317.0,7.4,3566.0,7.6,2102.0,7.2,575.0,7.4,10689.0,7.2,27154.0,38.0
Albert Finney,sir,the dresser,1.0,87.0,100.0,1.0,0.85,0.5750000000000001,6,1,175.0,1983,118,7.6,4713,1456000,5310748,0,7.6,4713,7.7,8.0,600,934,1322,993,442,175,81,60,44,62,0,0,8.0,276.0,7.4,1313.0,7.7,2081.0,7.5,3103.0,0,0,8.0,227.0,7.4,1109.0,7.6,1693.0,7.8,606.0,0,0,7.9,46.0,7.6,193.0,7.9,360.0,6.9,226.0,7.6,1459.0,7.6,2043.0,47.0
