ACTOR,ROLE,TITLE,AWARD,SCORE_1,SCORE_2,NUM_REVIEWS,polarity_mean,objectivity_mean,NUMERIC_KEY
Adam Driver,charlie barber,marriage story,1.0,85.0,94.0,48.0,0.1909691944959802,0.47950733525733524,0
Adolphe Menjou,walter burns,the front page,1.0,60.0,93.0,1.0,0.5,1.0,1
Adrien Brody,wladyslaw szpilman,the pianist,2.0,96.0,95.0,40.0,0.12857593795093794,0.6039663880181121,2
Al Pacino,frank serpico,serpico,1.0,88.0,90.0,6.0,0.23854166666666665,0.5729166666666666,3
Al Pacino,michael corleone,the godfather part ii,1.0,97.0,98.0,17.0,0.3802857142857143,0.6469259259259259,3
Al Pacino,sonny wortzik,dog day afternoon,1.0,90.0,96.0,8.0,0.2305776515151515,0.5203977272727273,3
Al Pacino,arthur kirkland,and justice for all,1.0,80.0,83.0,7.0,-0.10416666666666667,0.7003968253968254,3
Al Pacino,lieutenant colonel frank slade,scent of a woman,2.0,92.0,89.0,9.0,0.12956349206349205,0.6098639455782313,3
Alan Arkin,lt rozanov,the russians are coming! the russians are coming!,1.0,75.0,86.0,2.0,0.375,0.71875,4
Alan Arkin,john singer,the heart is a lonely hunter,1.0,85.0,100.0,1.0,0.24444444444444446,0.6,4
Alan Bates,yakov bok,the fixer,1.0,61.0,56.0,2.0,-0.14166666666666666,0.37916666666666665,5
Albert Finney,tom jones,tom jones,1.0,58.0,82.0,9.0,0.18919753086419755,0.5185185185185185,6
Albert Finney,hercule poirot,murder on the orient express,1.0,79.0,90.0,6.0,0.125,0.4525462962962963,6
Albert Finney,sir,the dresser,1.0,87.0,100.0,1.0,0.85,0.5750000000000001,6
Albert Finney,geoffrey firmin,under the volcano,1.0,71.0,71.0,5.0,-0.125,0.27499999999999997,6
Alec Guinness,henry holland,the lavender hill mob,1.0,87.0,100.0,4.0,0.16250000000000003,0.5347222222222222,7
Alec Guinness,lieutenant colonel nicholson,the bridge on the river kwai,2.0,93.0,95.0,12.0,0.2887757575757576,0.5413969565787747,7
Alexander Knox,woodrow wilson,wilson,1.0,42.0,89.0,4.0,0.4784722222222222,0.74375,8
Alfred Lunt,the actor,the guardsman,1.0,0.0,0.0,0.0,0.0,0.0,9
Andrew Garfield,desmond doss,hacksaw ridge,1.0,91.0,84.0,54.0,0.11758775041383737,0.6528854131979132,10
Anthony Franciosa,polo pope,a hatful of rain,1.0,0.0,0.0,0.0,0.0,0.0,11
Anthony Hopkins,dr hannibal lecter,the silence of the lambs,2.0,95.0,96.0,28.0,0.12485310245310247,0.6205565961815963,12
Anthony Hopkins,james stevens,the remains of the day,1.0,89.0,95.0,10.0,0.13439153439153437,0.4314814814814814,12
Anthony Hopkins,richard nixon,nixon,1.0,74.0,74.0,19.0,0.0922954822954823,0.6388461538461538,12
Anthony Quinn,gino,wild is the wind,1.0,0.0,0.0,0.0,0.0,0.0,13
Anthony Quinn,alexis zorba,zorba the greek,1.0,86.0,80.0,0.0,0.0,0.0,13
Antonio Banderas,salvador mallo,pain and glory,1.0,91.0,97.0,45.0,0.2089215360849976,0.4776367706367706,14
Art Carney,harry coombes,harry and tonto,2.0,82.0,83.0,5.0,0.36,0.4666666666666667,15
Arthur Kennedy,larry nevins,bright victory,1.0,0.0,0.0,1.0,0.13333333333333336,0.9166666666666666,16
Barry Fitzgerald,father fitzgibbon,going my way,1.0,75.0,81.0,7.0,0.29856150793650793,0.5238095238095237,17
Ben Kingsley,mohandas k gandhi,gandhi,2.0,92.0,85.0,9.0,0.1278125,0.526733630952381,18
Ben Kingsley,colonel massoud amir behrani,house of sand and fog,1.0,83.0,74.0,39.0,0.19034992784992782,0.6333219954648526,18
Benedict Cumberbatch,alan turing,the imitation game,1.0,91.0,89.0,60.0,0.049857565679934095,0.49575945241199476,19
Bill Murray,bob harris,lost in translation,1.0,85.0,95.0,27.0,0.23259785353535353,0.594079797979798,20
Billy Bob Thornton,karl childers,sling blade,1.0,92.0,96.0,15.0,0.30381613756613757,0.5718750000000001,21
Bing Crosby,father chuck omalley,going my way,2.0,75.0,81.0,6.0,0.2929166666666666,0.5611111111111111,22
